komentar,label
memang mantul produk noera,Positif
"brand no era yg lotion emang cakep bangt,harum juga",Positif
"sudah kudugong emang no kaleng"" si noera hb andalan",Positif
dok rekomendasiin sunblock donk,Positif
yeayyy akhirnya noera ke ciduk doktif congrast,Positif
"akhirnya di aprove sama doktif yg ditunggu"" seneng bngett congrats ka reree",Positif
masyaallah sudah approved by doktif emang the best buk owner nya ini,Positif
yeeeayyy selamat buk owner,Positif
"mksh doktif, hb kesayaan no overklaim",Positif
gong bngtt asliii,Positif
wahhhh selamat to kaka reisha novandita atas approved nyaa doktifff mengenai produk kakaaaa,Positif
doktif mau bertanya kalo kulit kusam dan berminyak noera jadi solusinya bener nggakk??,Positif
aaaa seneng banget udah di approved doktif,Positif
"3 hari juga udah cerahan pake itu w, biar gak kering sblm nya w pake almond oil dlu, mandi baru pake itu , bobo dah, besoknya pake lotion spf marina udah",Netral
hb terbaik dari sekian bnyak bnyak hb dosting,Positif
wahhhhhh,Netral
emang sebagus itu sih noera,Positif
siap2 hbnya langakah,Netral
"seneng banget deh, udah di approve sama doktif and dokter incognito",Positif
yeay akhirnyaa noera,Positif
wah mantap,Positif
dok produk yass gmn..tolong di jawab,Positif
kalau udah diriview berti okk,Positif
emng gong banget noera no debat doktif ajh bsa lolos krna emng gak overklaim debest pokoknya maju trus kk rere,Positif
congratz noeraaaa,Positif
alhamdulillah akhirnya si kuningg lolos di approved doktiff makasi dokk,Positif
hb noera emg sebagus itu,Positif
noera emng bestt sihh,Positif
makin yakin kalo noera sebagus itu,Positif
"beli kue di pasar pagi,
 rasanya manis bikin happy.
 hb noera approve doktif lagi,
 harta tertinggi, no debat lagi!",Positif
menyalaa noeraa,Positif
dok boleh uji emina gak dok,Positif
"yesss, congratulations noera! hb dosting resmi approve, rasanya bangga banget jadi pengguna setia! gimana nggak makin cinta? cocok di kulit, hasilnya bikin happy! harta tertinggi di dunia per",Positif
"iii ak udah nyobain ituu, pertama kali ak nypbain hb itu hb nya noeraa semoga ampuh ya soalnya kulitku kulit badan",Positif
noera mah ga usah diragukannn lagi mantap pokoknya,Positif
udah approve doktif lagi udah gaperlu diraguin lagi nihhh hb,Positif
barusan lewat vt di atas .. lihat doktif review hb ny pas x lh ya,Positif
"mau nyoba noeraa, kebetulan doktif udah approve jadi semakin yakin kalo noera emang bener” bagusss",Positif
aman buat bumil gak?,Netral
yeayy doktif approve,Positif
emang cuma produk noera yang jual kualitas dan nggak overclaim nggak nyesel sih beli produk noere,Positif
semantul itu dong noera sampai di review doktif,Positif
doktif udah review cusss co,Positif
cinta noeraa hidup noeraa jayaa bu owner,Positif
rasanya nano2 pas mw di approved sma doktif tapi akhirnya alhamdulillah seneng banget ya allahmakin cinta sama noera,Positif
emang produk noera tuh ga perlu diragukan lagi,Positif
noera emang the bestt,Positif
dokter coba reveuw produk liskya collagen darink.. ith bagus apa ngga dok soalnya aku pake itu,Positif
senang di riview doktif,Positif
udah direview doktif gesss,Positif
emangg noera tuhh gausahh di raguin lagii sii,Positif
mantap banget noera,Positif
ihhhhh emngg thebest,Positif
wahh sudah approve,Positif
"doktif , basic skincare byzoe gimana dok ?",Positif
waw…congrat noera & kak rere. insyaallah akan makin membludak penjualan nya.,Positif
kalo udah di approve doktiff aku langsung cari produknya,Positif
the best noera si,Positif
yeyy akhirnya approve doktif,Positif
di approve dong...,Positif
selamat bu owner udah di aprove oleh doktif,Positif
bagus banget produk noera,Positif
yeeeyyy congrettss ka rere,Positif
doktif aja approved..aku jg pakai ini tinggal stengah lg,Positif
wahhhhhhh,Netral
tim noeraa,Positif
ah seneng,Positif
"alhamdulillah makasi dok , amanah banget kak rere",Positif
"kalo udah di acc sama doktif udah di jamin aman banget guys ,serbuuu noeraa",Positif
seneng banget udah di approve dokter,Positif
kalo udah doktif yang review udah deh aman,Positif
thankyou doook,Positif
yashh approve doktif,Positif
glowglowing dok,Positif
"trimksih doktif.. owner satu ini emang baik bngt, amanah.. barokallah",Positif
memangg gong banget si noera,Positif
seneng banget hb dari noera di approve doktif,Positif
makasii doktif,Positif
kereennnnnn noera,Positif
noera is the best,Positif
ga salah pilih noera dari dulu,Positif
duhh jadi bangga karena aku pake sudah aman dan bpom menyala noera,Positif
asyikk,Netral
congrast ka rere,Positif
"masya allah ud d aproved doktif , makiiinnn percayaa pake noeraa, dan jangan dinaikin harganya ya buu ownerr",Positif
selamat kak rere cantik owner terbaik semoga slalu amanah.. semoga sukses selalu,Positif
yeayy,Netral
menyalaa hb dosting kuu emng gak salah pilihh anti overclaim yeayyy,Positif
tidak diragukan lagi,Positif
semoga kali ini beruntung,Positif
yeayy congrats noera,Positif
congratulation kak,Positif
hb tersombong memang,Positif
menyala noeraa,Positif
omegattt menyala,Positif
wiihh noera emang gak bisa di ragukan lagi yah,Positif
"alhamdulilah
 pngn nyoba tapi belum ada duit",Positif
yeah congrats noera,Positif
nyyo dok coba review,Positif
masya allah produk kk rere ma gong semua congratulation kk rere,Positif
noeraa emang bagus bangettttt,Positif
alhamdulilah amann sudah di approve doktif ga sabar pngn cobaaaaaaaaaaa,Positif
alhamdulillah bakal order teruss ini maacongrattsss ka rere sukses selalu,Positif
congrats hb kecintaan,Positif
wiii makin yakin nih,Positif
gak salah pilih si sama noera,Positif
doktif approve,Positif
udahh gak diragukan lgi si kalo noera mah,Positif
wihhh adyikk,Netral
"yeayyyy, udah approv dong",Positif
aaaaa hb aku di approved doktiffff,Positif
memang bagus banget noera,Positif
bangga banget deh sma noera,Positif
tambah banyak penggemar hb dosting noera kalo udah doktif approve nih,Positif
waaa udah doktif approv keren noera,Positif
yeyy makasih doktif,Positif
wowww,Netral
congrats kak rere,Positif
bangga poll sama noera,Positif
asikkk udah di approve doktif,Positif
masha allah tabarakallah terima kasih banyak doktif,Positif
mantul,Positif
akhirnya diapprove sama doktif emg best bangettt noeraa,Positif
mantap noera,Positif
aku yang pake hb dari noera seneng banget liat inii yeyyy,Positif
seneng banget akhirnya di approved doktif,Positif
uyuhuuu emangg sebagus itu hb noeraa,Positif
emng ga salah pilih produk noera buat glowing,Positif
waduh kalo udah diapprove bakal membeludak nih orderannya,Positif
yeaaay akhirnya approve,Positif
yeyyy happy banget noera epproved by doktif,Positif
kalo udah diaprrove doktif berarti gong bangett,Positif
"kalau doktif sudah bicara ""approve"" siapa lagi yang masih raguu??",Positif
"yeayyy udah doktif approve nih 
 tinggal nunggu approve paksu untuk cekout hihi",Positif
mantap kalo udah di aprove doktif aman syekaliiii,Positif
jangan ragu jangan ragu langsung aja co,Positif
masyaallah tabarakallahbukan kaleng kaleeeng hb kecintaan ini,Positif
kalau sudah di acc doktif gausa diraguin lahya emang noera gong banget,Positif
tidak diragukan lagi,Netral
noera emg the best donk,Positif
wah senang banget hb yang aku pake sudah doktif approve,Positif
menyala noera,Positif
jadii makin yakin sama noeraa,Positif
kalo doktif udah approve produknya emg ga maen maen,Positif
alhamdulilah udah ga di ragukan lgi noera emng best banget sih,Positif
yeayyyy emang gacor,Positif
ini yg aku cari reviewnya..,Positif
yeayyyy congratsss kak,Positif
maasyaaaallah noera the best,Positif
banggaa bangeettt!!,Positif
ikut senang hb noera uproved doktif,Positif
gasalah pilih lagi si,Positif
yeyyyy akhirnya d approved doktif slmat kk rere,Positif
yeaaay doktif approved congrats ka,Positif
wah udah di review doktif nihhhhh,Positif
yeeyy akhirnyaa hb noera doktif approve,Positif
emang bukan kaleng-kaleng nih noera,Positif
tergiur sekalih apalagi udah di cek sama doktif uuuhh,Positif
masyaallaaaaah congratz noera,Positif
emg gausah diragukan lagi noera,Positif
hehee seneng banget di aprove doktif,Positif
yeaayy congrats noera,Positif
memang gong banget,Positif
tim noera,Netral
akhirnya di approve,Positif
aaahh akhirnya di approved doktif,Positif
dik riview glugavaaaaaaa pliisss,Positif
masyaallah udah di review doktif menyala terus noeraa,Positif
alhamdulillah bangga bnget sebagai langganan produk noera gak pernah gagal,Positif
yeyyyy,Netral
yeayyy bangga bangettt sama noera,Positif
akhirnyaaa yaaa udah diapprove sama doktif yg ga bakal bikin ragu lagi buat beli,Positif
seneng banget direview doktif soalnya aku juga make dan hasilnya nyata,Positif
"wahhh alhamdulillah, akhirnya approved doktif",Positif
semangattttt,Netral
wah udah diapprove sama doktif nih,Positif
noera emng sebagus itu,Positif
wahhhhh menyala noera ku,Positif
aghhh approve dongg samaa doktif,Positif
uhuuuyyy anti anti overclaim,Positif
congrats noera,Positif
congrats bu ownerr,Positif
"wah ud di aproved doktiffff , uda pastiii terbukti amannn dan bagus ,",Positif
udah pasti aman kan ya,Netral
masyaallah di review dok tif donk ..,Positif
yeyyy congratulations buat noera,Positif
emang the best banget nih produk noera sampe doktif pun approve,Positif
alhamdulillah bangga banget aku yang pake hb dosting noera nya selamat ya kak rere,Positif
"woww udah doktif approved, jadi makin penasaran sama hb nya",Positif
wawww ga salah pilih brand dari noera ini,Positif
noera ku,Netral
wahhh akhirnya noera di approve sama doktif,Positif
keren banget,Positif
sudah di approv dong,Positif
noera emng bestt sih,Positif
menyalaaa noeraa,Positif
emang semantuk itu produk ya noera sampai di review doktif,Positif
nunggu thr dlu buat beli hb favorit ini,Positif
"ga kaget sih kalau bakal diapprove doktif, karna memang segong itu hb kuningnya noera",Positif
yeyyy selamatt kak,Positif
akhirnya,Netral
cobak hb yass dok aku beli itu tapi masih takut mau pakek soalnya aku baca ada kandungan alcohol nya,Netral
gak salah si pilih noera,Positif
noeraa emang baguss bangettt,Positif
jadi pengen banget nyobain,Positif
dokkkk ziyan glow dong plis,Positif
congrats noera,Positif
emang semantul itu hb dosting noera,Positif
woww.. makin penasaran sama hb dosting noera,Positif
waw makin terpercaya banget ini,Positif
alhamdulillah akhirnya noera,Positif
aaahhh di approved doktif,Positif
aaaaaaa demi apaa seneng banget akhirnya yg ditunggu tunggu uda diapproved doktif,Positif
"kan""! gak kaleng"" emng hb satu ini",Positif
beuhh menyalaa,Positif
noera mahh gaaa perluu diraguinn lagiii,Positif
wishlist nya punya banyak stok produk noera,Positif
"emang sebagus ituuu no kaleng""",Positif
"jangan di ragukan lgii noeraaaa, no overclaimm",Positif
kalo udah di aproved mantep sii,Positif
pengen bngett cobain hb nya,Positif
makin semangat buat nabung beli hb noera,Positif
seneng banget,Netral
"masyallah, selamat kak",Positif
hb fav akuuu,Positif
emang gadiraguin lagi si,Positif
yeeee congrats noera,Positif
akhirnya produk kecintaan kita approve juga,Positif
yeyyyyy congrats noeraaaa,Positif
"yey udahh approvedjadi produknya udah aman banget, wajib beli sih ini",Positif
"masyaallah, memang gong banget noera",Positif
"ga kaget kalau bakal diapprove doktif, karna memang segong itu hb kuningnya noera",Positif
akhirnya di riview doktif,Positif
ahhh happy bangettt noeraa sudah approved by doktif,Positif
yeeeaayyy akhirnya,Positif
aku bangga banget sama produk ini,Positif
hb noera bestt,Positif
aaaa emng ga salah sih pilih noera buat jdi investasi di badan,Positif
sudah approve doktif,Positif
udah approve doktif guys,Positif
wah doktif approved yaa,Positif
alhmdllh di approved smaa doktfi dong,Positif
emang gak usah diragukan lagi produk noera,Positif
selamat ka re,Positif
wahhh noera,Positif
selamattt noeeraaaaa,Positif
approve doktif,Positif
masih menjadi wishlist ku,Positif
seneng juga udah di riview doktif,Positif
congratulation kak,Positif
waaaaaaw!,Netral
omo omo omoo doktif udah approvee,Positif
alhamdulillah sudahh approved by doktiff,Positif
seneng banget udah di approve,Positif
masyaallah noera slalu ter the best,Positif
makasih dokkk udah review hb kesukaan kuu,Positif
noera semantul itu,Positif
aaaa kabar baik,Positif
yeyy selamat neora kuu,Positif
wihh mantebb doktiff approve,Positif
bismillah semoga beruntung,Positif
doktif coba produk ctr dong dok soalnya aku pake,Positif
dok cek,Netral
review feali donk dok,Positif
kasih harga ambyar,Netral
dok tolong bpo super skin dong,Positif
makasih doktif,Positif
noera apa lauskin sih,Netral
dok co cek produk jenem glow,Positif
gass beli,Positif
dok hb dosting nya tmt yang kemasan baru,Positif
lnsung fyp,Netral
aman nih,Netral
hb ku menyala owner ku,Positif
semoga kita semua bisa sukses thn ini dan kaya raya kayak konten kreator lainnya amin ya allah ..doa terbaik aja semoga kita bisa spt mereka yg sukses sukses kita hrs bisa dn semngat jgn lupa follow,Netral
hb terbaru msglow dong dok,Positif
mksihh doktiff,Positif
aftermyskin dok,Positif
"lnjt trus dok, buat review produk lain",Positif
dok review aftermyskin dong itu lagi viral jg rame bet yang war. soalnya aku pengguna aftermyskin,Positif
serum pigeon doktif,Positif
coba reviuw hb bosternya misonells doktern,
aku baru beli make baru 5 harian. smoga cocok ya,Netral
review aftermyskin dok,Positif
"berlebihan terkadang bicaranya loh,.
 ya allah...",Negatif
cek rc glow clinic dong doktif,Positif
yeeeyyy bangga bangget dech sama noera by raisa the bessss bangget produknya,Positif
"ada lg dok, coba review hb ungu dari misonels di tunggu dok",Positif
dok review mandela dong,Positif
doktif review lip serum noera dong,Positif
jujur sejujur jujurnya aku yang pake hb ini beneran bagus bikin lembab cerahnya lumayan cepet apalagi di tambahin serum,Positif
kalo colagen neora nya dok,Positif
dok coba review serum implora dok,Positif
noera ada perubahan di aku yg penting rajin pake nya gaes,Positif
yeyyy,Netral
alhamdulillah semua yang aku pakai amanah,Positif
dok plis jawab bumil boleh pake ga?,Positif
aku pakai seminggu sumpah cerahan tangan aku,Positif
yeee hbku aman wkwk,Positif
dok recomen skincare yg aman buat bumil dong !!,Positif
dok hb after my skin dong dok,Positif
"doktif review sabun kerith dong, soalnya aku udah pke dan cocok...",Positif
saranin produk hb pagi yang dibilag doktif,Positif
akhirnya sempet ketar ketir kemarin,Netral
cobak hb ms glow dong doktif,Positif
harganya berapa ya?,Netral
yeaayyy seneng banget aku juga make,Positif
"terimakasi doktivf karna kmu aku sadar ,dulu aku pemake merkuri,sekarang kulitku suda membaik lagi",Positif
aku juga sama pake,Netral
kedas beaty dong dok,Positif
dok hb infus whitening nya dabe dong di riview ownernya mami bella,Positif
"sunscreenx jg dok, tlg review.",Positif
seneng banget ya allah akhirnya,Positif
aku juga pakek dok..alhamdulilah aman,Positif
dok review produk dr.leo dong pliss,Positif
dok tolong cek sabun nalpamara aman gak,Positif
semakin pengen pake,Positif
dok review skincare jestham dok,Positif
dok coba riview skincare savglow dong,Positif
rekomendasi hb pelindung mataharinya dong dok,Positif
betul doktif..,Positif
kena spill doktif noeraaakuuuuuuu,Positif
"dok cantik, tolong review elfisha skin dong mkasih",Positif
ga salahhh pilihh hb makasi,Positif
glughava dok,Positif
dokter tolong review nadfaskin dong,Positif
wow wow woww makin menyalaaa,Positif
"yeeyy aku ga salah pilih hb dong,,, bangga banget bisa jd pembeli cerdas, thank you doktif",Positif
cek lauskin dok,Positif
"bener banget dok lembut banget , ga bikin gatel",Positif
"udah di review dr,abell juga.tapi blm mampu beli aku",Positif
nah kan jgn diraguin lg,Positif
dok hb try one dong dok. aku pke jalan 2 pot kaki gatel2,Netral
lotion bmg gimana dok?,Positif
beli ini ja kita yul,Netral
"makasih dok, soalnya aku juga pake dok alhamdulillah aman",Positif
gas cobain noera ahh,Positif
dok kalo hand body beverlis aman kan dok?,Positif
"noera gak kaleng"" woy",Positif
glogglowing dong doktif. review dong doktif,Positif
hb noera kyknya,Positif
skinnice dok,Positif
denver doktif,Positif
titanum dioxide atau zinc oxide,Positif
artha ldt+ dong...,Positif
kalau glughava dok,Positif
"pliss glowsica doktif uji lab aman tidak aku mau beli cuman ragu, tapi itu viral loh",Positif
review skincare glowsicha dong doktif,Positif
"serius nanya, hb dosting itu bahaya gasii sebenarnya??",Positif
"tadinya mau beli, tapi belom di review sama doktif, eeh buka tiktok ketemu doktif lagi review, langsung co dah",Positif
mantul,Netral
g2g kapan dok,Positif
alhamdulillah akhirnya di riview smaaa doktif,Positif
hb dosting lauskin dokkk please takukut kmakn iklan,Netral
doktif review bran lacera dongg,Positif
kaa ree,Netral
sabun heloise dong dok,Positif
alhamdulillah ga sia2 beli mahal2,Positif
"yeayy aku jg cocok noera kulit ku cerahan ,yg signifikan di kaki efek motoran wrn ny merata lagi dan inget d pke ny d mlm hr trs siang ny pke yg spf yaa",Positif
gloglowing dokter,Positif
"kalo kita pake whitening bodly lotion, tapi pagi - siang ga kluar rmh sama sekali apa ttapi wajib hukum nya dok pake lotion spf/ gluta hya? mohon edukasi nya dok",Positif
hb drw dong doktif,Positif
dok review hb pacific skincare dong,Positif
mh rani skinker dok,Positif
yeahhh ga sia2 dong beli hb dari,Positif
coba mi renk arta lolos apa enggak makasih,Positif
"tolong review beauty rossa dong dok,mau beli mahal bngett harganya",Positif
semangat doktif,Positif
untuk bumil boleh gak,Netral
dok moisturizer marina dong,Positif
muar bngt bila llu d beranda aku,Positif
angel tacik dok!,Netral
bu doktif review minuman collagen juga dongg,Positif
dok coba brand camille punya kak,Positif
dok tolong riview skincare glowglowing,Positif
reviuw cleora dong dok,Positif
produl noera emang josss ini mah,Positif
dok tiff cobba sancren glad glow dong ?,Positif
okee gasss jadii cekottt kemarenn masii raguu',Positif
cobaa skinvu lotion dokk,Positif
imd dong,Netral
dok tolong riview loris beauty,Positif
selamat kak,Positif
tinggal nunggu merk triyen nih,Positif
the best noeraku,Positif
doktif riview hb triyen dok,Positif
"semangat doktif buat share2 skincare yg baik buat kita smua,sneng ih kl doktif udah share mana yg bagus dan g nya jdi g takut buat pakai nya",Positif
dokter... coba cek hn yg original,Positif
"otw hb noera,. pudahal masih pake racun doktif hb maydooza",Positif
approved dok,Positif
"dokk tolongg cek,in produk moisturizer g2g yg warna pink dok",Positif
dokk omongin soal raysa clink dongg ibu aku pakai cuman gapernah liat orang lain bahas takut bahaya,Netral
rekomendasi lotion spf dong doktif,Positif
doktif gloglowing dongg udah blom atau blum,Positif
doktif review dong lacera,Positif
dok coba produk myo dong,Positif
doktif kalo kulit kering bersisik itu harus pake apa mohon dijawab,Positif
only you doktif,Positif
doktif coba glwo sap,Positif
tinted sunscreen noera doktif,Positif
alhamdulillah akhir nya di review doktif jadi gak ragu lagi next mau order kalo gitu,Positif
dok gimana kasus ss dan genk sirkus ???kita nungguin lama banget ya naik kasus nya.padahal da jelas kita menyaksikan gimana mereka ke doktif.semangat dok sehat2 maju terus dok jgn takut sama mereka.,Positif
waaww keren noera,Positif
doktifff tolong review produk lumia amoranya dong udah aman dipakek jangaka panjang atau gak?,Positif
spill body lotion yang mengandung titanium dioxide dong dok,Positif
"dok cek merkuri dari cream siang jestham pleasee. kandungannya alpha arbutin, niacinamide, collagen, tapi warna creamnya kuning. kata ownernya gada merkuri.",Positif
"stelah maju mundur mau bli,akhirnya co juga",Positif
aftermyskin apa noera ya guys?,Positif
skin 1004 dok,Positif
dok review pipiakuiu dong,Positif
"dok, coba cek ella skincare. soalnya saya mau beli sunscreen nya",Positif
aku hampir semua prodak noera emank sebagus itu,Positif
doktif review wbs kosmetik,Positif
"pengen banget,,tapi blm bisa beli harga nya mehong",Positif
ye udah di review doktif mari kita beli,Positif
aman gak bumil busui,Netral
ga salah milih dari tahun ketahun pakai produk noera,Positif
doktif boleh ga sih paginya pakai citra yang ada pelindung uv nyaaa,Netral
dokk coba moisturizer yang teraglow,Positif
kalo siang gak kepanasan gak pernah keluar rumah apa ttapi perlu pake sunscrean dok??,Netral
coba cek gemoy dok,Positif
maryame dok priksa,Positif
pasti mahal,Negatif
coba brand celo yang retinol dik,Positif
nrl dok pliss soalnya masi sering live,Positif
dok sesekali review skincare suv,Positif
aftermaykin doktifff,Positif
dok tolong review hadalado,Positif
dok review jglow,Positif
"dok aku hbis pakai itu gatel"" trs gmn yaa lanjut apa ngga?",Netral
"bener bngt , kaloo bener pasti gak takut ️",Positif
menyala ownerku,Positif
dok plis review hb dosting cantik glow body lotion dosting,Positif
doktif coba hb dosting arvil dong,Positif
dok hb ini boleh buat busui gak ya dokter?,Positif
kalo retinol daviena kak,Positif
otw beli ah,Positif
ijin tanya h&h doktif,Positif
bisa buat bumil ga doktifff,Netral
dok coba cek aha,Positif
"ngak pernah ketinggalan, mumpung dapat konsultasi gratis dari doktif",Positif
doktif bahas castro oil dong.. bagus gak buat wajah,Positif
coba artha ldt dok,Positif
doktif coba review glow and lovely,Positif
bumil boleh pakai gak si,Positif
dok coba skincare zoicy beauty dong katanya udah bpom tapi blm yakin,Positif
dok selain turunan haku kenapaa alpa arbutin gak disarankan untuk bumil dan busui?,Positif
"inget banget ka nm bela doktif saat dikeroyok ,moga doktif bisa bela balik nm",Positif
bagus smua kalo noera to?,Netral
kojic planton dok,Positif
review skincare saffron dokk,Positif
dok coba skincare anak children yang sunscreen nyaa,Positif
tlg dong riveuw ianys produk jepang,Positif
"dok riview lotion bmg dong dokk
 lagi viral banget soal nya",Positif
"dok benrankah sudah jdi tsk, ya allah dok berat betul ujiannya, smoga hoaxxxxxxxxx 
 dok semngat sabar kita² ada diblkng dokter, nabi muhammad aja ujiannya byk, apalgi kita umatnya,, semoga jdi ladang jariah pembasmi kemungakaran didunia skincarean ini dok",Positif
legaaaa bngtttt denger ny,Positif
mantapppp hb dosting noera emangg sebaguss ituuu,Positif
doktif cobak rifyu pigeon tins,Positif
dok untuk skincare botoga aman gak?,Positif
aftermyskin dokk,Positif
dok review nyyo skincare dong,Positif
doktif ibelle skin dong,Positif
usut tuntas. ss. dong jgn kasih kendor biar jera para. mafia skincare. masyarakat indonesia sangat membutuhkan doktif,Positif
"dok kapan nih, moisturizer glad2glow pomegranate",Positif
"noera emg bagus si
 sekalipun aku blm prnh coba tapi anak2 disini banyak yg pake",Positif
dok sudah jadi tersangaka ya?,Negatif
assalamu'alaikum doktif tolong cek crem berryjoy dong,Positif
dok coba aftermyskin,Positif
aman buat bumil busui ga sih?,Netral
ka viva whitening dong,Positif
gloglowing skincare dong doktif soalnya lgi bingung milih skincare pngen lepas dari skincare merkucrit sudah 2 tahun pkek trnyata selama ini merkucrit,Positif
dok emng pakenya cuma bole malem ya? pagi nya ga bole gitu?,Netral
produk omg dong,Netral
diii riview doktif kakak reree,Positif
doktiff aku pagi siangnya pake lotionnya mama gigi yg slavina dan malamnya aku pake noera. itu gapapa kan dokk??,Positif
deg2an ownernya,Netral
"ayo selalu dukung doktif, karena modelan doktif begini yg speak up bener sesuai kondisi product di konoha ini banyak begalnya.",Positif
"coba triyen review dok, soalnya lagi laris juga di dunia hb",Positif
hb yass beuty dok,Positif
"rekom dong, kalo malem pakek dosting noera, bagusnya paginya pakek apa??",Netral
dok coba wardah yg warnah ijo itu dok,Positif
bmg dok,Positif
doktif review skincare glo glowing dong,Positif
noera whitening booster night,Positif
g bs untuk busui ya,Netral
scincare jenemglow donk,Positif
"alhamdulillah di approve kak re jadi makin nyakin pakai produk noera, emang se gongg itu produk ini",Positif
dok cek salep² yg lg viral..salep bt flek melasma dll nya,Positif
aku mene kape co hb noera,Positif
cara pkenya gmna,Netral
review yessica dong dok,Positif
"sangat sangat senang dengan adanya doktif di indonesia raya ini, jadi lebih berhati² memilah dan memilih produk² kecantikan.",Positif
gue pakek itu hb udah abis 2 pot ga ada perubahannya apa gue yng salah pakek tau gmn yaa,Positif
"doktif review dong minuman collagen dari ""jelitera- lumia amora""",Positif
kalau hb gemoy yg biru aman g dok,Positif
mantul deh,Positif
coba dok riview hb tryone beauty . saya pakai kok gatel” .,Positif
"jadi cerdas bareng doktif, makasih dok",Positif
otw make ini,Positif
brand lamooi lotion malam nya doktif,Positif
kok ngangakui fw nya nyaman sarah ges,Netral
dok hb dosting yass aman gak? udah doktif approve blum?,Netral
"ini riview jujur kan dok no suap kan dok?
 dari maslah kmren rasanya jd susah percaya tentang riview orng""",Positif
jd ingin pake,Positif
mksh dok,Positif
celo dong dok,Positif
"coba rivew krim dr grand, terus skincare istri bagus dan skincare dr inem daster",Positif
hb dosting nya aku awal pake penasaran 1 pot aku beli daaan gong lah kulitku ini,Positif
noera emang bagus apalagi colagen nya huhuuu noera the besttt,Positif
busui boleh pakai gak ya dok,Positif
keren bngttttt,Positif
bentar lagi kek nya masuk juga,Positif
aman buat bumil ngak dok,Positif
siapa yg stuju doktif uji lab hb daviena yg baru yg 27x? up dok please penasaran,Positif
beli beli,Netral
hb sindi coba dok,Positif
maju terus doktif,Positif
adleva dok aman nggak kandungannya,Netral
bangga banget pakai,Positif
apa cuman aku aja ya. yg pkek hb noera kulit makin kering dan makin hitam,Positif
dok tolong review merek mazaya donk,Positif
sama punya debe ..aaku juga pakek aman .,Positif
doktik cek dojako dong,Positif
doktif minta thrnya donggg,Positif
"akhirnya doktiif 
 thankyou body lotion kecintaan ku aman dan gak over claim",Positif
tolong cek krim malem gloglowing paket kinclong boster. kenapaa di aku krim dibagian tutup pinggir² nya molor. trs abis berenti jadi bruntusan yg ada air nya,Positif
jestam kk,Positif
emina aman gak sih,Netral
hb arta gimana dok??,Positif
"yeayyyy di riview, aku mau beli deg-degan soalnya takut",Positif
doktif adleeva,Positif
dok tolong cek cream dari dr.fay,Positif
"sempet pengen pake ini tapi galau , soalnya branding nya kurang , eh ternyata oh ternyata keren",Positif
lewat fyp doktif mau kasih umroh buat 10 org di akun doktif ini. semoga ada nama ku di dlm 10 org tsb . aaminn . doktif lope u,Positif
buat bumil aman gak dok?,Positif
yeeee makin semangat pakai nya....lega deh....,Positif
dokk coba cek bodycare arthadl dok pengen cobain yang body lotionnya,Positif
"sunscreen nya aja bagus banget abis 3 tube,bikin glowing,dan ga kusemm",Positif
hb triyen dok,Positif
sunblok badan yang bagus merk ap,Positif
idi tolong dibina anggotanya yg berseteru sesama teman sejawat.,Positif
"habis dapet masalah ya review yang aman"" aja pastinya",Negatif
dok coba revew glow glowing,Positif
seneng banget,Positif
coba pigeon dong bunda doktif,Positif
"kalau produk yang di approve ma doktif aku yang dulunya gak begitu minat dengan produk skincare,atau body lotion pemutih,paling pakai facial wash,tapi sekarang udah berani pakai skincare",Positif
"dok, riveuw hb aftermyskin dong",Positif
doktif coba finally found you,Positif
doktif coba review brand jeune fen,Positif
dok test lab hb bizarre please,Positif
review produk celo dok,Positif
bisa buat bususi gak ya?,Positif
doktef tolong banget riveiw nezma dong dok,Positif
tumben uji labnya gak di kasih liat,Positif
doktif kalo sabun aftermyskin gimana,Positif
rivyew sabun ohmayskin dok,Positif
lagi nungguin gloglowing di review doktif,Positif
dok review byzoe dong...,Positif
saran dong kak mending nora atau maydoza,Positif
jadi pengen beli,Positif
dok review yg dari drw rejuv dan ms glow dok,Positif
serius dok ? alhamdulillah,Positif
pokoknya jangan ragukan kualitas noera,Positif
ratu arab dokk,Positif
dok...bener gak sih dah tersangaka..?,Netral
hb dosting afterskin dok,Positif
review sabun afterskin dok,Positif
ko.dikulit aku lengaket trs agak gatel ya dok padahal pake dikit ?mohon info dok,Positif
aman buat busui ngakuk sih,Netral
"dok, coba skincare byzoe",Positif
doktif coba brend the face temulawak,Positif
kalo pil ny amn g sih?,Netral
review chalonese & youbuy juga byzoe dong dok. soalnya lg marrak. takut berbahaya sedangakan sudah meluas,Positif
"masya allah dari cara bicaranya aja luar biasa sebagai seorang dokter, semoga bisa bertemu",Positif
serum seribu duri daviena yg baru lounching tolong di cek juga doktiv takut over klaim lagi,Positif
dok produk acne somebaymi dok coba dok,Positif
"dok, coba barbei miniso dok",Positif
"kak cek skincare barbei miniso kak, aku pengen beli itu tapi takut gak bpom",Positif
"kata si uya ""persaingan bisnis "" .. justru karna",Negatif
kereeeeenn banget nih produk,Positif
hb noera besttt aku make belum seminggu udah bikin kulit cerahh lembab.,Positif
dari doktif kt jd tau bhn yg wajib ada di hb pagi yaitu titanium dioxide & zinc dioxide bukan titanium bahan perhiasan yg aku tahu kalo ga ad doktif kita plonga plongo gaiss,Positif
dok coba eleora,Positif
kalo buat pagi bagusnya apa doktif..bingung yg biar bisa melindungi dr sinar matahri,Positif
