Data Komentar TIKTOK,Labeling
Wahhh makin menyala udah di review doktif,positif
yeayyy congratsss noera ,positif
emng gonggg bangett si kuning ini,positif
"bangga banget sama noera, plis aku hampir smua dari noera perawatan badannya",positif
alhamdulillah untungnya saya pake hb noera dan ternyata benar kandungan nya seaman itu buat kulit saya ,positif
masya allah selalu pas dan gak overclaim,positif
happy hb kesayaangan di approve ,positif
YEYEEEE BANGGA BANGETT SAMA NOERAAA,positif
Noera emg sebagus itu dok ,positif
makasih dok udah review produk kecintaan akuuuu,positif
mantul produk noera,positif
"Yeayyy, Hb dosting noera Approved by Doktif .. Yang kuning aja udah Gong banget apalagi yg Ungu ",positif
the best emng Noera,positif
Congratulation Bu ownerr ,positif
tuh kan mangakanya gong....,positif
masyaallahh d riview doktif,positif
memang mantul produk noera,positif
"brand no era yg lotion emang cakep bangt,harum juga",netral
"sudah kudugong emang no kaleng"" si noera hb andalan ",positif
dok rekomendasiin sunblock donk,positif
Yeayyy akhirnya noera ke ciduk doktif congrast,positif
"akhirnya di aprove sama doktif yg ditunggu"" seneng bngett congrats ka reree",positif
masyaAllah sudah approved by doktif emang the best buk owner nya ini,positif
yeeeayyy selamat buk owner,positif
"mksh doktif, hb kesayaan no overklaim ",positif
gong bngtt asliii,netral
wahhhh selamat to kaka reisha novandita atas approved nyaa doktifff mengenai produk kakaaaa,positif
DOKTIF MAU BERTANYA Kalo Kulit Kusam Dan Berminyak Noera Jadi Solusinya Bener Nggakk?? ,positif
aaaa seneng banget udah di approved doktif ,positif
"3 hari juga dh cerahan pake itu w, biar gak kering sblm nya w pake almond oil dlu, mandi baru pake itu , bobo dah, besoknya pake lotion spf marina dh",positif
Hb terbaik dari sekian bnyak bnyak Hb dosting ,netral
wahhhhhh,positif
Emang sebagus itu sih noera,netral
Siap2 hbnya langakah,positif
"seneng banget deh, udah di approve sama doktif and dokter incognito ",positif
yeay akhirnyaa noera ,netral
wah mantap,positif
dok produk yass gmn..tolong di jawab,positif
kalau udah diriview berti okk,positif
emng gong banget noera no debat doktif ajh bsa lolos krna emng gak Overklaim debest pokoknya maju trus kk rere,positif
congratz noeraaaa,positif
alhamdulillah akhirnya si kuningg lolos di approved doktiff makasi dokk,positif
Hb noera emg sebagus itu ,positif
Noera emng bestt sihh,positif
Makin yakin kalo noera sebagus itu,positif
"Beli kue di pasar pagi,
Rasanya manis bikin happy.
HB Noera approve doktif lagi,
Harta tertinggi, no debat lagi! ",positif
menyalaa noeraa,positif
dok boleh uji Emina gak dok,positif
"Yesss, congratulations Noera!  HB Dosting resmi approve, rasanya bangga banget jadi pengguna setia!  Gimana nggak makin cinta? Cocok di kulit, hasilnya bikin happy! Harta tertinggi di dunia per",positif
"iii ak udah nyobain ituu, pertama kali ak nypbain hb itu hb nya noeraa semoga ampuh ya soalnya kulitku kulit badan",netral
Noera mah ga usah diragukannn lagi mantap pokoknya,positif
udah approve doktif lagi udah gaperlu diraguin lagi nihhh hb,positif
barusan lewat vt di atas .. lihat doktif review Hb ny pas x lh ya,positif
"mau nyoba noeraa, kebetulan doktif udah approve jadi semakin yakin kalo noera emang bener” bagusss",positif
aman buat bumil gak?,positif
yeayy doktif approve,positif
Emang cuma produk noera yang jual kualitas dan nggak overclaim nggak nyesel sih beli produk noere,positif
semantul itu dong noera sampai di review doktif,positif
doktif udah review cusss co,positif
cinta noeraa hidup noeraa jayaa bu owner,positif
rasanya nano2 pas mw di approved sma doktif tapi akhirnya Alhamdulillah seneng banget ya Allahmakin cinta sama Noera,positif
emang produk noera tuh ga perlu diragukan lagi,positif
Noera emang the bestt,positif
dokter coba reveuw produk Liskya collagen drink.. ith bagus apa ngga dok soalnya aku pake itu,netral
Senang di riview doktif,positif
udah direview doktif gesss,positif
Emangg noera tuhh gausahh di raguin lagii sii,positif
Mantap banget noera,positif
ihhhhh emngg thebest,positif
wahh sudah approve,positif
"doktif , basic skincare byzoe gimana dok ?",netral
waw…congrat noera & kak rere. insyaAllah akan makin membludak penjualan nya. ,positif
kalo udah di approve doktiff aku langsung cari produknya ,positif
yeyyyyy,netral
the Best NOERA si,positif
Yeyy akhirnya approve doktif,positif
di approve dong...,positif
Selamat bu owner udah di aprove oleh doktif,positif
bagus banget produk noera ,positif
Yeeeyyy congrettss ka rere ,positif
doktif aja approved..aku jg pakai ini tinggal stengah lg,positif
Wahhhhhhh,netral
tim noeraa,netral
ah seneng ,positif
"alhamdulillah makasi dok , amanah banget kak rere",positif
"Kalo udah di acc sama doktif udah di jamin aman banget guys ,serbuuu noeraa",positif
seneng banget udah di approve dokter,positif
klo udah doktif yang review udah deh aman ,positif
Thankyou doook,positif
YASHH APPROVE DOKTIF,positif
glowglowing dok,netral
"trimksih doktif.. owner satu ini emang baik bngt, amanah.. barokallah",positif
Memangg gong banget si noera,positif
seneng banget Hb dari noera di approve doktif,positif
makasii doktif,positif
kereennnnnn noera,positif
noera is the best,positif
ga salah pilih noera dari dulu ,positif
Duhh jadi bangga karena aku pake sudah aman dan bpom menyala noera ,positif
asyikk,positif
Congrast ka rere,positif
"masya Allah ud d aproved doktif , makiiinnn percayaa pake noeraa, dan jangan dinaikin harganya ya buu ownerr",positif
selamat kak rere cantik owner terbaik semoga slalu amanah.. semoga sukses selalu,positif
yeayy,netral
menyalaa hb dosting kuu emng gak salah pilihh  anti overclaim yeayyy ,positif
tidak diragukan lagi,positif
semoga kali ini beruntung,netral
Yeayy congrats noera,positif
congratulation kak,positif
Hb tersombong memang,negatif
Menyala noeraa,positif
omegattt menyala,positif
wiihh noera emang gak bisa di ragukan lagi yah ,positif
"alhamdulilah
pngn nyoba tapi belum ada duit",positif
yeah congrats noera,positif
NYYO dok coba review,netral
Masya Allah produk KK Rere ma gong semua  congratulation KK rere,positif
noeraa emang bagus bangettttt,positif
Alhamdulilah Amann sudah di approve doktif ga sabar pngn cobaaaaaaaaaaa,positif
Alhamdulillah bakal order teruss ini maacongrattsss ka rere sukses selalu,positif
congrats HB kecintaan ,positif
Wiii makin yakin nih,positif
gak salah pilih si sama Noera,positif
doktif approve,positif
udahh gak diragukan lgi si klo noera mah,positif
wihhh adyikk,netral
"yeayyyy, udah approv dong",positif
aaaaa HB aku di approved Doktiffff,positif
memang bagus banget noera[yummy],positif
bangga banget deh sma noera,positif
tambah banyak penggemar Hb dosting Noera kalo udah doktif approve nih,positif
MasyaAllahh,netral
Waaa udah doktif approv  keren noera,positif
Yeyy makasih doktif ,positif
wowww,netral
congrats kak rere,positif
BANGGA POLL SAMA NOERA ,positif
Asikkk udah di approve doktif,positif
Masha Allah Tabarakallah terima kasih banyak doktif ,positif
mantul ,positif
akhirnya diapprove sama doktif emg best bangettt noeraa ,positif
MANTAP NOERA,positif
aku yang pake hb dari noera seneng banget liat inii yeyyy,positif
seneng banget akhirnya di approved doktif,positif
uyuhuuu emangg sebagus itu Hb noeraa,positif
Emng Ga salah pilih Produk Noera buat glowing ,positif
Waduh kalo udah diapprove bakal membeludak nih orderannya,positif
Yeaaay akhirnya approve ,positif
yeyyy happy banget noera epproved by doktif,positif
alhamdulillahhh,netral
klo udah diaprrove doktif berarti gong bangett,positif
"kalau doktif sudah bicara ""approve"" siapa lagi yang masih raguu??",positif
"Yeayyy udah doktif approve nih 
tinggal nunggu approve paksu untuk cekout hihi",positif
Mantap kalo udah di aprove doktif aman syekaliiii,positif
JANGAN RAGU JANGAN RAGU LANGSUNG AJA CO,positif
Masyaallah tabarakallahbukan kaleng kaleeeng hb kecintaan ini,positif
Kalau sudah di acc doktif gausa diraguin lahya emang noera gong banget,positif
tidak diragukan lagi ,netral
Noera emg the best donk,positif
wah senang banget Hb yang aku pake sudah doktif approve,positif
menyala noera,positif
Jadii makin yakin sama noeraa,positif
klo doktif udah approve produknya emg ga maen maen,positif
Alhamdulilah udah ga di ragukan lgi Noera emng best banget sih ,positif
YEAYYYY EMANG GACOR ,positif
ini yg aku cari reviewnya..,netral
Yeayyyy congratsss kak,positif
Maasyaaaallah noera the best,positif
BANGGAA BANGEETTT!! ,positif
ikut senang hb noera Uproved doktif,positif
gasalah pilih lagi si ,positif
yeyyyy akhirnya d approved doktif slmat kk rere,positif
yeaaay doktif approved congrats ka,positif
wah udah di review doktif nihhhhh,positif
yeeyy akhirnyaa hb noera doktif approve,positif
emang bukan kaleng-kaleng nih noera ,positif
tergiur sekalih apalagi udah di cek sama doktif uuuhh,positif
Masyaallaaaaah  congratz noera ,positif
emg gausah diragukan lagi noera ,positif
hehee seneng banget di aprove doktif,positif
Yeaayy congrats noera ,positif
memang gong banget,positif
tim noera,netral
akhirnya di approve ,positif
aaahh akhirnya di approved doktif,positif
dik riview glugavaaaaaaa pliisss,netral
Masyaallah udah di review doktif menyala terus noeraa,positif
Alhamdulillah bangga bnget sebagai langganan produk noera gak pernah gagal ,positif
yeyyyy,netral
yeayyy bangga bangettt sama noera,positif
Akhirnyaaa yaaa udah diapprove sama doktif yg ga bakal bikin ragu lagi buat beli,positif
seneng banget direview doktif soalnya aku juga make dan hasilnya nyata ,positif
"wahhh Alhamdulillah, akhirnya approved doktif ",positif
semangattttt,netral
wah udah diapprove sama doktif nih,positif
noera emng sebagus itu,positif
wahhhhh menyala noera ku,positif
aghhh approve dongg samaa doktif,positif
Uhuuuyyy anti anti OVERCLAIM,positif
congrats noera,positif
Congrats bu ownerr,positif
"wah ud di aproved doktiffff , uda pastiii terbukti amannn dan bagus , ",positif
udah pasti aman kan ya,netral
masyaallah di review dok tif donk ..,positif
yeyyy congratulations buat noera ,positif
emang the best banget nih produk noera sampe doktif pun approve,positif
alhamdulillah bangga banget aku yang pake Hb dosting noera nya selamat ya kak rere,positif
"woww udah doktif approved, jadi makin penasaran sama hb nya",positif
wawww ga salah pilih brand dari noera ini ,positif
noera ku,positif
wahhh akhirnya noera di approve sama doktif,positif
keren banget,positif
 Sudah di approv dong,positif
noera emng bestt sih,positif
menyalaaa noeraa,positif
emang semantuk itu produk ya noera sampai di review doktif,positif
Nunggu THR dlu buat beli HB favorit ini,positif
"ga kaget sih kalau bakal diapprove doktif, karna memang seGong itu hb kuningnya noera",positif
Yeyyy selamatt kak,positif
Akhirnya ,netral
cobak hb yass dok aku beli itu tapi masih takut mau pakek soalnya aku baca ada kandungan alcohol nya,netral
Gak salah si pilih noera,positif
noeraa emang baguss bangettt,positif
jadi pengen banget nyobain,positif
Dokkkk ziyan glow dong plis,netral
congrats noera,positif
emang Semantul itu Hb dosting noera ,positif
woww.. makin penasaran sama Hb dosting noera,positif
waw makin terpercaya banget ini,positif
Alhamdulillah akhirnya Noera ,positif
Aaahhh di approved doktif,positif
Aaaaaaa demi apaa seneng banget akhirnya yg ditunggu tunggu uda diapproved doktif,positif
"kan""!!! gak kaleng"" emng hb satu ini",positif
BEUHH MENYALAA,positif
Noera mahh gaaa perluu diraguinn lagiii ,positif
Wishlist nya punya banyak stok produk Noera ,positif
"emang sebagus ituuu no kaleng""",positif
"jangan di ragukan lgii noeraaaa, no overclaimm",positif
kalo udah di aproved mantep sii,positif
pengen bngett cobain Hb nya,positif
makin semangat buat nabung beli hb Noera ,positif
congratsss,positif
seneng banget,positif
"masyallah, selamat kak",positif
Hb fav akuuu,positif
Emang gadiraguin lagi si,positif
Yeeee congrats noera,positif
akhirnya produk kecintaan kita approve juga,positif
yeyyyyy congrats noeraaaa,positif
"yey udahh approvedjadi produknya udah aman banget, wajib beli sih ini",positif
"MasyaAllah, memang gong banget noera ",positif
"ga kaget kalau bakal diapprove doktif, karna memang seGong itu hb kuningnya noera",positif
akhirnya di riview doktif,positif
ahhh happy bangettt noeraa sdh approved by doktif,positif
yeeeaayyy akhirnya,positif
aku bangga banget sama produk ini,positif
hb noera bestt,positif
Aaaa emng ga salah sih pilih noera buat jdi investasi di badan,positif
Sudah approve doktif,positif
udah approve doktif guys,positif
wah doktif approved yaa ,positif
alhmdllh di approved smaa doktfi dong,positif
emang gak usah diragukan lagi produk noera,positif
selamat KA re,positif
wahhh noera,positif
selamattt noeeraaaaa,positif
Approve doktif,positif
masih menjadi wishlist ku,netral
seneng juga udah di riview doktif,positif
congratulation kak,positif
waaaaaaw!!!,netral
omo omo omoo doktif udah approvee,positif
Congrattts,positif
Alhamdulillah sudahh approved by doktiff,positif
seneng banget udah di approve ,positif
masyaallah noera slalu Ter the best,positif
Masya allahh,positif
aahkkkkkkk,netral
MAKASIH DOKKK UDAH REVIEW HB KESUKAAN KUU,positif
noera semantul itu,positif
aaaa kabar baik,positif
yeyy selamat neora kuu,positif
Wihh mantebb doktiff approve,positif
BISMILLAH SEMOGA BERUNTUNG ,netral
doktif coba produk CTR dong dok soalnya aku pake,netral
dok cek,netral
review FEALI donk dok,netral
kasih harga ambyar,netral
dok tolong bpo super skin dong,netral
,positif
makasih doktif,netral
,netral
noera apa lauskin sih,netral
dok co cek produk jenem glow,netral
gass beli ,netral
dok hb dosting nya tmt yang kemasan baru,positif
lnsung fyp,positif
aman nih ,netral
Hb ku menyala owner ku,netral
semoga kita semua bisa sukses thn ini dan kaya raya kayak konten kreator lainnya amin ya Allah ..doa terbaik aja semoga kita bisa SPT mereka yg sukses sukses kita hrs bisa dn semngat jgn lupa follow,positif
,netral
Hb terbaru msglow dong dok,netral
mksihh doktiff,netral
aftermyskin dok,netral
"lnjt trus dok, buat review produk lain",netral
Dok review AFTERMYSKIN dong itu lagi viral jg rame bet yang war. Soalnya aku pengguna aftermyskin,netral
serum pigeon doktif,netral
coba reviuw hb bosternya misonells doktern,negatif
aku baru beli make baru 5 harian. smoga cocok ya,netral
REVIEW AFTERMYSKIN DOK,positif
"berlebihan terkadang bicaranya loh,.
ya Allah...",netral
Cek RC GLOW CLINIC dong doktif,netral
yeeeyyy bangga bangget dech sama noera by raisa the bessss bangget produknya,netral
"Ada lg dok, coba review HB UNGU dri MISONELS Di tunggu dok",positif
Dok review mandela dong,netral
doktif review lip serum noera dong,netral
Jujur sejujur jujurnya aku yang pake hb ini beneran bagus bikin lembab cerahnya lumayan cepet apalagi di tambahin serum,positif
KLO colagen neora nya dok,netral
dok coba review serum implora dok,positif
Noera ada perubahan di aku yg penting rajin pake nya gaes,netral
Yeyyy,positif
Alhamdulillah semua yang aku pakai amanah,positif
Dok plis jawab bumil boleh pake ga?,netral
Aku pakai seminggu sumpah cerahan tangan aku ,netral
yeee hbku aman wkwk,netral
dok recomen skincare yg aman buat bumil dong !!,netral
dok Hb after my skin dong dok,netral
"doktif review sabun kerith dong, soalnya aku udah pke dan cocok...",netral
saranin produk Hb pagi yang dibilag doktif,netral
AKHIRNYA sempet ketar ketir kemarin,netral
cobak hb ms glow dong doktif,positif
njoo gass,positif
harganya berapa ya?,netral
yeaayyy seneng banget aku juga make,netral
"terimakasi doktivf  karna kmu aku sadar ,dulu aku pemake merkuri,sekarang kulitku suda membaik lagi",netral
Otw CO ,netral
aku juga sama pake ,netral
kedas beaty dong dok,netral
Dok hb infus whitening nya dabe dong di riview ownernya mami bella ,netral
"sunscreenx jg dok, tlg review.",netral
seneng banget ya allah akhirnya,positif
aku juga pakek dok..alhamdulilah aman,positif
dok review produk dr.leo dong pliss,netral
Dok tolong cek sabun Nalpamara aman gak,netral
,netral
semakin pengen pake,positif
dok review skincare jestham dok,netral
dok coba riview skincare savglow dong,netral
rekomendasi HB pelindung mataharinya dong dok,netral
betul doktif..,positif
kena spill doktif noeraaakuuuuuuu,netral
"dok cantik, tolong review elfisha skin dong mkasih",netral
ga salahhh pilihh hb makasi,positif
glughava dok,netral
dokter tolong review nadfaskin dong,netral
WOW WOW WOWW MAKIN MENYALAAA,netral
"yeeyy aku ga salah pilih HB dong,,, bangga banget bisa jd pembeli cerdas, thank you doktif",positif
cek lauskin dok,netral
"bener banget dok lembut banget , ga bikin gatel ",positif
1004 kak,netral
"udah di review dr,abell juga.tapi blm mampu beli aku",positif
nah kan jgn diraguin lg ,positif
dok HB try one dong dok. aku pke jalan 2 pot kaki gatel2,negatif
lotion BMG gimana dok?,netral
Beli ini ja kita yul,netral
"Makasih dok, soalnya aku juga pake dok alhamdulillah aman",positif
gas cobain noera ahh,positif
dok kalo hand body beverlis aman kan dok?,netral
"noera gak kaleng"" woy",positif
glogglowing dong doktif. review dong doktif,netral
hb noera kyknya,netral
skinnice dok,netral
denver doktif,netral
titanum dioxide atau zinc oxide,netral
artha ldt+ dong...,netral
kalau glughava dok,netral
"Pliss glowsica doktif uji lab aman tidak aku mau beli cuman ragu, tapi itu viral loh",netral
Review skincare glowsicha dong doktif,netral
"serius nanya, hb dosting itu bahaya gasii sebenarnya?? ",negatif
"tadinya mau beli, tp belom di review sama doktif, eeh buka tiktok ketemu doktif lagi review, langsung co dah",positif
mantul,positif
g2g kapan dok,netral
Alhamdulillah akhirnya di riview smaaa doktip,positif
hb dosting lauskin dokkk please tqkut kmakn iklan,negatif
doktif review bran lacera dongg,netral
Kaa ree,netral
sabun heloise dong dok,netral
Alhamdulillah ga sia2 beli mahal2,positif
"Yeayy aku jg cocok noera kulit ku cerahan ,yg signifikan di kaki efek motoran wrn ny merata lagi dan inget d pke ny d mlm hr trs siang ny pke yg spf yaa ",positif
gloglowing dokter,netral
,netral
"kalo kita pake whitening bodly lotion, tp pagi - siang ga kluar rmh sama sekali apa ttp wajib hukum nya dok pake lotion spf/ gluta hya? mohon edukasi nya dok",netral
Hb drw dong doktif,netral
dok review hb pacific skincare dong,netral
mh rani skinker dok,positif
Yeahhh ga sia2 dong beli HB dari,netral
,netral
Coba mi renk Arta lolos apa enggak makasih,positif
"tolong review beauty Rossa dong dok,mau beli mahal bngett harganya",netral
Semangat Doktif,netral
untuk bumil boleh gak,netral
